ID,客户端ID,本地问题ID,批次名,目标版本,领域,文档类型,规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,问题状态,标记,严重程度,Kit名称,是否是问题,原因,修改方案
cmrjjmjvc09nejfkgdmpojrp6,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjmjvc09nejfkgdmpojrp6,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,12.1.2.5,若使用该方法/函数时有前提条件/前置操作，检查文档中是否有关于调用该方法/函数的的前提条件、前置操作，内容是否包含完整。,capi-arkui-nativemodule-arkui-activechildreninfo.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-activechildreninfo.md,,ArkUI_ActiveChildrenInfo,27,未确认,,P2,ArkUI,否,文档第15行已说明ArkUI_ActiveChildrenInfo的生成方式；第27行链接的capi-native-type-h.md第2489-2514行给出handle、index及异常返回nullptr，前置条件和使用方式完整。,无需修改，保留文档第15行和第27行。
cmrjjmce309mpjfkgeeg5gefb,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjmce309mpjfkgeeg5gefb,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,12.1.1.1,检查文档中关于方法/函数的含义/功能等信息描述是否完整，功能描述中若存在名词或概念不易理解或存在多义性，检查文档是否提供相关知识。,capi-arkui-nativemodule-arkui-activechildreninfo.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-activechildreninfo.md,,ArkUI_ActiveChildrenInfo,26,未确认,,P1,ArkUI,否,文档第26行明确获取内部活跃状态为true的FrameNode子节点、Span不计数、成功后可查询和按下标读取；capi-native-node-h.md第2141-2159行还给出参数和错误码，功能描述完整。,无需修改，保留文档第26行的汇总描述。
cmrjjln6e09kjjfkg663c6lb0,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjln6e09kjjfkg663c6lb0,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-activechildreninfo.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-activechildreninfo.md,,ArkUI_ActiveChildrenInfo,29,未确认,,P3,ArkUI,否,文档第29行明确销毁实例并释放资源；ace_engine/interfaces/native/node/node_utils.cpp第399-404行确实释放nodeList和handle，描述清晰且与实现一致。,无需修改，保留文档第29行。
cmrjjln6609khjfkg2445r3jo,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjln6609khjfkg2445r3jo,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-activechildreninfo.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-activechildreninfo.md,,ArkUI_ActiveChildrenInfo,28,未确认,,P3,ArkUI,否,文档第28行明确获取子节点数量及其遍历用途；ace_engine/interfaces/native/node/node_utils.cpp第418-423行直接返回nodeCount，描述与实现一致。,无需修改，保留文档第28行。
cmrjjln5z09kfjfkgga9o6k8w,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjln5z09kfjfkgga9o6k8w,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-activechildreninfo.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-activechildreninfo.md,,ArkUI_ActiveChildrenInfo,27,未确认,,P3,ArkUI,否,文档第27行明确按index获取子节点及遍历用途；ace_engine/interfaces/native/node/node_utils.cpp第407-415行在0<=index<nodeCount时返回节点，否则返回nullptr，表述无歧义。,无需修改，保留文档第27行。
cmrjjln5q09kdjfkg2nx3uwxj,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjln5q09kdjfkg2nx3uwxj,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-activechildreninfo.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-activechildreninfo.md,,ArkUI_ActiveChildrenInfo,26,未确认,,P3,ArkUI,否,文档第26行明确获取活跃FrameNode子节点并生成实例；ace_engine/interfaces/native/node/node_utils.cpp第284-304行构造nodeList和nodeCount，文档含义与实现一致。,无需修改，保留文档第26行。
cmrjjln5i09kbjfkgm0n1r2q2,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjln5i09kbjfkgm0n1r2q2,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-activechildreninfo.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-activechildreninfo.md,,ArkUI_ActiveChildrenInfo,15,未确认,,P3,ArkUI,否,文档第15行已完整说明结构体保存的信息、生成接口、查询能力和销毁要求；ace_engine/interfaces/native/node/node_extened.h第220-223行定义的成员正是nodeList和nodeCount。,无需修改，保留文档第15行。
cmrjjp9vj09x5jfkgt9fx857q,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjp9vj09x5jfkgt9fx857q,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,12.2.2.9,若相关参数间存在配合/制约关系，检查文档中对于满足配合/制约关系的效果、不满足产生的影响描述完整。,capi-arkui-nativemodule-arkui-attributeitem.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-attributeitem.md,,ArkUI_AttributeItem,30,未确认,,P2,ArkUI,否,文档第29行说明value数组长度由size指定，第30行又说明size需配合value使用；interface/native_node.h第202-205行也是value指针与size长度的配对定义，制约关系完整。,无需修改，保留文档第29-30行的配合关系说明。
cmrjjp5av09wcjfkg8b99f24y,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjp5av09wcjfkg8b99f24y,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-attributeitem.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-attributeitem.md,,ArkUI_AttributeItem,32,未确认,,P3,ArkUI,是,文档第32行“对象类型，用于存储对象类型的参数”前后同义重复，没有明确该成员保存的是对象数据，表述不够清晰。,将文档第32行改为“对象数据，用于存储对象类型的属性参数”，直接说明成员含义和用途。
cmrjjp5ao09wajfkgmlsjyjf7,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjp5ao09wajfkgmlsjyjf7,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-attributeitem.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-attributeitem.md,,ArkUI_AttributeItem,31,未确认,,P3,ArkUI,是,文档第31行“字符串类型，用于存储字符串类型的参数”重复使用“字符串类型”，没有直接说明成员内容，表述冗余。,将文档第31行改为“字符串，用于存储字符串类型的属性参数”，直接说明成员含义和用途。
cmrjjp5ag09w8jfkglf1h5y2z,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjp5ag09w8jfkglf1h5y2z,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-attributeitem.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-attributeitem.md,,ArkUI_AttributeItem,29,未确认,,P2,ArkUI,是,文档第29行“数字类型数组，用于存储数字数组类型的参数”存在“数字类型数组”和“数字数组类型”的重复、倒置表达，含义不够简洁。,将文档第29行改为“数字数组，用于存储数字类型的属性参数”，并保留数组长度由size指定的说明。
cmrjjozzt09vmjfkg5u7vx3ri,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjozzt09vmjfkg5u7vx3ri,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,15.1.2.2,number类型：有边界值限制的参数，测试覆盖边界值范围内、边界值、边界值范围外的数值，检查最小长度、最大长度正确。,capi-arkui-nativemodule-arkui-attributeitem.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-attributeitem.md,,ArkUI_AttributeItem,30,未确认,,P2,ArkUI,否,size是通用结构体中value数组的长度，不同属性要求的长度不同；例如ace_engine/style_modifier.cpp第1011行要求1到3，第1153行要求1或4，无法在文档第30行给出统一最大值。,无需修改通用成员说明；具体长度边界继续由native_node.h中各属性的ArkUI_AttributeItem格式说明。
cmrjjmu1f09ogjfkgeny5tfsh,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjmu1f09ogjfkgeny5tfsh,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,0.30.1.7,检测 Markdown 文件中的Markdown语法规范问题,capi-arkui-nativemodule-arkui-attributeitem.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-attributeitem.md,,ArkUI_AttributeItem,9,未确认,,P2,ArkUI,否,文档第9-11行使用带c语言标识且成对闭合的Markdown代码围栏，内容与interface/native_node.h第201-210行的匿名结构体声明一致，语法规范。,无需修改，保留文档第9-11行。
cmrjjs13k0a85jfkgn8i6ih61,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjs13k0a85jfkgn8i6ih61,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-circleshapeoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-circleshapeoption.md,,ArkUI_CircleShapeOption,15,未确认,,P3,ArkUI,否,文档第15行已说明ArkUI_CircleShapeOption用于配置圆心坐标和半径，并用于RenderNode的遮罩或裁剪场景；native-template.md第62-64行只要求说明结构体的作用和使用场合，未要求类型概述重复创建、释放流程，相关函数已在capi-native-render-h.md第2642-2674行单独说明。,无需修改，恢复并保留文档第15行原有的功能和使用场景描述。
cmrjjruka0a7cjfkgwxyc14fj,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjruka0a7cjfkgwxyc14fj,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,capi-arkui-nativemodule-arkui-circleshapeoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-circleshapeoption.md,,ArkUI_CircleShapeOption,10,未确认,,P1,ArkUI,否,文档第9-11行是接口声明而非可执行示例，typedef与interface/native_render.h第143-148行完全一致，不要求单独放入IDE运行。,无需修改，保留文档第9-11行的类型声明。
cmrjjqxmp0a48jfkgfibqa91q,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjqxmp0a48jfkgfibqa91q,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,0.30.1.4,检测 Markdown 文件中代码注释和描述准确性问题、代码规范性检查。,capi-arkui-nativemodule-arkui-circleshapeoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-circleshapeoption.md,,ArkUI_CircleShapeOption,10,未确认,,P1,ArkUI,否,文档第10行的typedef与interface/native_render.h第148行一致；ace_engine/render_node.h第124-128行表明底层结构确由centerX、centerY和radius组成，代码描述准确。,无需修改，保留文档第10行。
cmrjjqvrg0a3tjfkgb3qw9b3n,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjqvrg0a3tjfkgb3qw9b3n,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,0.30.1.7,检测 Markdown 文件中的Markdown语法规范问题,capi-arkui-nativemodule-arkui-circleshapeoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-circleshapeoption.md,,ArkUI_CircleShapeOption,9,未确认,,P2,ArkUI,否,文档第9-11行代码围栏使用合法的```c标识并正确闭合，typedef语句也与interface/native_render.h第148行一致，不存在Markdown语法问题。,无需修改，保留文档第9-11行。
cmrjjvk400am2jfkgfeohcb9d,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjvk400am2jfkgfeohcb9d,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-colorpropertyhandle.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-colorpropertyhandle.md,,ArkUI_ColorPropertyHandle,15,未确认,,P3,ArkUI,否,文档第15行已用一句话说明ArkUI_ColorPropertyHandle是颜色属性指针及其用途，符合native-template.md第62-64行关于说明类型作用和使用场合的要求；模板未要求在类型概述中重复创建、设置、获取和释放流程，相关函数已在capi-native-render-h.md第2020-2101行分别说明。,无需修改，恢复并保留文档第15行原有的类型定义和用途描述。
cmrjjv9vc0akojfkg628x32q8,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjv9vc0akojfkg628x32q8,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,capi-arkui-nativemodule-arkui-colorpropertyhandle.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-colorpropertyhandle.md,,ArkUI_ColorPropertyHandle,10,未确认,,P1,ArkUI,否,文档第9-11行是类型声明而非运行示例，typedef与interface/native_render.h第80-85行完全一致，不存在编译或运行要求缺失。,无需修改，保留文档第9-11行。
