规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,备注,问题状态,严重程度,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
12.2.2.7,若使用该参数时有前提条件/前置操作，检查文档中关于设置该参数的前提条件、前置操作描述是否完整，前置参数设置后返回值或者回调对当前参数的影响，以及对当前操作的影响描述是否完整。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,lpx2px,Class (UIContext),2586,,未确认,P3,接口上下文明确说明getUIContext需在windowStage.loadContent之后调用，以确保UIContext初始化完成，否则该接口无法返回准确结果；但value参数自身未说明这一前置操作及不满足条件时的影响。,,"| value | number | 是   | 将lpx单位的数值转换为以px为单位的数值。需在windowStage.loadContent之后获取并初始化UIContext，否则无法返回准确结果。<br/>取值范围：(-∞, +∞) |","| value | number | 是   | 将lpx单位的数值转换为以px为单位的数值。<br/>取值范围：(-∞, +∞) |",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_2_2_7.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中参数的取值说明、使用建议、注意事项提供完整,否,lpx2px的初始化前置条件已写在arkts-apis-uicontext-uicontext.md第2571行；js-template.md第241行规定此类前置条件属于方法描述，不要求在每个参数中重复。,无需在第2581行value参数内重复前置条件。
12.2.2.7,若使用该参数时有前提条件/前置操作，检查文档中关于设置该参数的前提条件、前置操作描述是否完整，前置参数设置后返回值或者回调对当前参数的影响，以及对当前操作的影响描述是否完整。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,px2fp,Class (UIContext),2532,,未确认,P3,接口上下文明确说明getUIContext需在windowStage.loadContent之后调用，以确保UIContext初始化完成，否则该接口无法返回准确结果；但value参数自身未说明这一前置操作及不满足条件时的影响。,,"| value | number | 是   | 将px单位的数值转换为以fp为单位的数值。需在windowStage.loadContent之后获取并初始化UIContext，否则无法返回准确结果。<br/>取值范围：(-∞, +∞) |","| value | number | 是   | 将px单位的数值转换为以fp为单位的数值。<br/>取值范围：(-∞, +∞) |",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_2_2_7.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中参数的取值说明、使用建议、注意事项提供完整,否,px2fp的初始化前置条件已写在arkts-apis-uicontext-uicontext.md第2517行；value参数第2527行只承担数值含义和范围说明，符合js-template.md第241、263-265行分工。,无需在第2527行value参数内重复前置条件。
12.2.2.7,若使用该参数时有前提条件/前置操作，检查文档中关于设置该参数的前提条件、前置操作描述是否完整，前置参数设置后返回值或者回调对当前参数的影响，以及对当前操作的影响描述是否完整。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,fp2px,Class (UIContext),2474,,未确认,P3,接口上下文明确说明getUIContext需在windowStage.loadContent之后调用，以确保UIContext初始化完成，否则该接口无法返回准确结果；但value参数自身未说明这一前置操作及不满足条件时的影响。,,"| value | number | 是   | 将fp单位的数值转换为以px为单位的数值。需在windowStage.loadContent之后获取并初始化UIContext，否则无法返回准确结果。<br/>取值范围：(-∞, +∞) |","| value | number | 是   | 将fp单位的数值转换为以px为单位的数值。<br/>取值范围：(-∞, +∞) |",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_2_2_7.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中参数的取值说明、使用建议、注意事项提供完整,否,fp2px的初始化前置条件已写在arkts-apis-uicontext-uicontext.md第2459行；value参数第2469行已准确说明转换方向和取值范围。,无需在第2469行value参数内重复方法级前置条件。
12.2.2.7,若使用该参数时有前提条件/前置操作，检查文档中关于设置该参数的前提条件、前置操作描述是否完整，前置参数设置后返回值或者回调对当前参数的影响，以及对当前操作的影响描述是否完整。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,px2vp,Class (UIContext),2416,,未确认,P3,接口上下文明确说明getUIContext需在windowStage.loadContent之后调用，以确保UIContext初始化完成，否则该接口无法返回准确结果；但value参数自身未说明这一前置操作及不满足条件时的影响。,,"| value | number | 是   | 将px单位的数值转换为以vp为单位的数值。需在windowStage.loadContent之后获取并初始化UIContext，否则无法返回准确结果。<br/>取值范围：(-∞, +∞) |","| value | number | 是   | 将px单位的数值转换为以vp为单位的数值。<br/>取值范围：(-∞, +∞) |",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_2_2_7.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中参数的取值说明、使用建议、注意事项提供完整,否,px2vp的初始化前置条件已写在arkts-apis-uicontext-uicontext.md第2399行；js-template.md第241行要求将调用顺序放在方法描述。,无需在第2411行value参数内重复前置条件。
12.2.2.7,若使用该参数时有前提条件/前置操作，检查文档中关于设置该参数的前提条件、前置操作描述是否完整，前置参数设置后返回值或者回调对当前参数的影响，以及对当前操作的影响描述是否完整。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,vp2px,Class (UIContext),2358,,未确认,P3,接口上下文明确说明getUIContext需在windowStage.loadContent之后调用，以确保UIContext初始化完成，否则该接口无法返回准确结果；但value参数自身未说明这一前置操作及不满足条件时的影响。,,"| value | number | 是   | 将vp单位的数值转换为以px为单位的数值。需在windowStage.loadContent之后获取并初始化UIContext，否则无法返回准确结果。<br/>取值范围：(-∞, +∞) |","| value | number | 是   | 将vp单位的数值转换为以px为单位的数值。<br/>取值范围：(-∞, +∞) |",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_2_2_7.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中参数的取值说明、使用建议、注意事项提供完整,否,vp2px的初始化前置条件已写在arkts-apis-uicontext-uicontext.md第2341行；value参数第2353行已说明转换含义和范围。,无需在第2353行value参数内重复方法级前置条件。
25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,getPageRootNode,Class (UIContext),4341,,未确认,P1,函数调用表达式末尾缺少分号。,,"    console.info('pageOneTmp', 'aboutToDisappear');","    console.info('pageOneTmp', 'aboutToDisappear')",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,是,修改前getPageRootNode示例的console.info表达式末尾缺少分号，不符合OpenHarmony-JavaScript-coding-style-guide.md第308-326行的表达式语句规则。,已在arkts-apis-uicontext-uicontext.md第4338行console.info调用末尾补充分号。
25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,getPageRootNode,Class (UIContext),4296,,未确认,P2,`setTimeout`调用是表达式语句，其回调闭包结尾缺少分号。,,    });,    }),https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,是,修改前getPageRootNode示例的setTimeout调用在回调闭包后没有分号，不符合OpenHarmony-JavaScript-coding-style-guide.md第308-326行。,已将arkts-apis-uicontext-uicontext.md第4293行改为“});”。
25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,getPageRootNode,Class (UIContext),4277,,未确认,P1,成员变量初始化声明末尾缺少分号，并与紧邻成员声明的分号风格不一致。,,  @Provide('pageInfos') pageInfos: NavPathStack = new NavPathStack();,  @Provide('pageInfos') pageInfos: NavPathStack = new NavPathStack(),https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,是,修改前getPageRootNode示例第4274行的pageInfos成员初始化声明末尾缺少分号，与相邻成员声明风格不一致。,已在arkts-apis-uicontext-uicontext.md第4274行NavPathStack初始化声明末尾补充分号。
25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,postDelayedFrameCallback,Class (UIContext),2960,,未确认,P2,构造函数参数使用双引号，与当前代码块其他字符串使用的单引号风格不一致。,,"          this.getUIContext().postDelayedFrameCallback(new MyFrameCallback('delayTask'), 5);","          this.getUIContext().postDelayedFrameCallback(new MyFrameCallback(""delayTask""), 5);",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,是,修改前postDelayedFrameCallback示例使用双引号包裹delayTask，与同代码块的单引号风格不一致；arkts-coding-style-guide.md第474-480行建议统一使用单引号。,已将arkts-apis-uicontext-uicontext.md第2957行改为new MyFrameCallback('delayTask')。
25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,postFrameCallback,Class (UIContext),2911,,未确认,P2,构造函数参数使用双引号，与当前代码块其他字符串使用的单引号风格不一致。,,          this.getUIContext().postFrameCallback(new MyFrameCallback('normTask'));,"          this.getUIContext().postFrameCallback(new MyFrameCallback(""normTask""));",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,是,修改前postFrameCallback示例使用双引号包裹normTask，与同代码块风格不一致；arkts-coding-style-guide.md第474-480行建议使用单引号。,已将arkts-apis-uicontext-uicontext.md第2908行改为new MyFrameCallback('normTask')。
25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,runScopedTask,Class (UIContext),1801,,未确认,P2,`onClick`调用是表达式语句，其回调闭包结尾缺少分号。,,        });,        }),https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,是,修改前runScopedTask示例的onClick调用末尾无分号，不符合OpenHarmony-JavaScript-coding-style-guide.md第308-326行。,重写实际示例时，已在arkts-apis-uicontext-uicontext.md第1800行将onClick调用以“});”结束。
25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,runScopedTask,Class (UIContext),1800,,未确认,P2,`runScopedTask`调用是表达式语句，其回调闭包结尾缺少分号。,,          });,          }),https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,是,修改前runScopedTask示例中的runScopedTask调用末尾无分号，不符合OpenHarmony-JavaScript-coding-style-guide.md第308-326行。,重写实际示例时，已在arkts-apis-uicontext-uicontext.md第1799行将runScopedTask调用以“});”结束。
25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,,Class (UIContext),36,,未确认,P1,箭头函数的`=>`前后均缺少空格，左大括号前也缺少空格。,,          .onClick(() => {,          .onClick(()=>{,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,否,arkts-apis-uicontext-uicontext.md第36行当前为“.onClick(() => {”，箭头两侧及左大括号前均已有空格，扫描原文已不存在。,无需修改，保留文档第36行现有格式。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,runScopedTask,Class (UIContext),1784,,未确认,P2,参数说明仅写“回调函数”，未说明该回调的用途。读者仅查看参数表时，无法准确判断回调将在何种上下文中执行。,,| callback | () => void | 是    | 在当前UI上下文中执行的回调函数。 |,| callback | () => void | 是    | 回调函数 |,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,arkts-apis-uicontext-uicontext.md第1781行已说明callback用于承载在当前UIContext对应UI实例作用域内执行的代码，不存在仅写“回调函数”的问题。,无需修改，保留文档第1781行参数说明。
