ID,规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,问题状态,严重程度,Kit名称,开发责任人,测试责任人,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
cmramc9du0r83h67b80n4741h,25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,clearResourceCache,UIContext,412,未确认,P1,ArkUI,,,该行函数调用语句未以分号结尾。,,this.getUIContext().clearResourceCache();,this.getUIContext().clearResourceCache(),https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,非本组,用户指定clearResourceCache小节不在本组处理范围；zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第430行示例调用保持原文this.getUIContext().clearResourceCache()。,撤销本组对zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第430行示例调用分号的修改，保持原样。
cmramc9dk0r82h67bjamptu88,25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,clearResourceCache,UIContext,410,未确认,P2,ArkUI,,,该行字符串字面量使用双引号，与文档内ArkTS示例代码主流单引号风格不一致。,,Button('clearResourceCache'),"Button(""clearResourceCache"")",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,非本组,"用户指定clearResourceCache小节不在本组处理范围；zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第428行Button(""clearResourceCache"")保持原文。",撤销本组对zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第428行Button字符串引号的修改，保持原样。
cmramc9cp0r7zh67b8sh91e5j,25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,284,未确认,P1,ArkUI,,,该行是`setTimeout`函数调用语句的闭合行，未以分号结尾。,,"}, 5000);","}, 5000)",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,是,文档原第284行setTimeout闭合语句缺少分号，与同代码块内第250行、第277行等函数调用语句风格不一致。,"将zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第295行改为}, 5000);。"
cmramc9ch0r7yh67by3x6lxvu,25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,252,未确认,P1,ArkUI,,,该行函数调用语句未以分号结尾。,,"this.getUIContext().freezeUINode(uniqueId, false);","this.getUIContext().freezeUINode(uniqueId, false)",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,是,"文档原第252行this.getUIContext().freezeUINode(uniqueId, false)缺少分号，与同文件第250行、第277行等调用语句风格不一致。","将zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第259行改为this.getUIContext().freezeUINode(uniqueId, false);。"
cmramc9c90r7xh67bn818blwy,25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,152,未确认,P1,ArkUI,,,该行是`setTimeout`函数调用语句的闭合行，未以分号结尾。,,"}, 5000);","}, 5000)",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,是,文档原第152行setTimeout闭合语句缺少分号，与同代码块内第124行、第128行等函数调用语句风格不一致。,"将zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第154行改为}, 5000);。"
cmramc9je0r8ph67bz5mszbt9,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,196,未确认,P3,ArkUI,,,同一文档中同类字段使用“**原子化服务API：**”格式，此处使用英文冒号；“API version 18 开始”中数字与“开始”之间的空格也与后文同类表述不一致。,,**原子化服务API：** 从API version 18开始，该接口支持在原子化服务中使用。,**原子化服务API:** 从API version 18 开始，该接口支持在原子化服务中使用。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,是,文档原第196行“**原子化服务API:** 从API version 18 开始”使用英文冒号且“18 开始”多空格；同文件第198行应与仓内zh-cn/application-dev/reference/apis-arkui/js-apis-postCardAction.md第23行的“**原子化服务API：** 从API version 11开始”格式一致。,将zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第198行改为“**原子化服务API：** 从API version 18开始，该接口支持在原子化服务中使用。”
cmramc9j50r8oh67b1dzd09sw,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,76,未确认,P3,ArkUI,,,同一文档中同类字段使用“**原子化服务API：**”格式，此处使用英文冒号；“API version 18 开始”中数字与“开始”之间的空格也与后文同类表述不一致。,,**原子化服务API：** 从API version 18开始，该接口支持在原子化服务中使用。,**原子化服务API:** 从API version 18 开始，该接口支持在原子化服务中使用。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,是,文档原第76行“**原子化服务API:** 从API version 18 开始”使用英文冒号且“18 开始”多空格；同文件第76行应与仓内zh-cn/application-dev/reference/apis-arkui/js-apis-postCardAction.md第23行的“**原子化服务API：** 从API version 11开始”格式一致。,将zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第76行改为“**原子化服务API：** 从API version 18开始，该接口支持在原子化服务中使用。”
cmramc9i10r8kh67bpoxya1cl,23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,307,未确认,P1,ArkUI,,,"该示例中 uniqueId 由上一行的 node?.getUniqueId() 获取，静态类型可能为 number | undefined；而当前重载 freezeUINode(uniqueId: number, isFrozen: boolean) 的第一个参数要求为 number。直接传入可能为 undefined 的变量，可能导致 IDE 类型检查报错，不符合示例代码应可正常编译的要求。",,"if (uniqueId !== undefined) { this.getUIContext().freezeUINode(uniqueId, false); }","this.getUIContext().freezeUINode(uniqueId, false);",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/23_1_1_1.md,质量,示例代码可用实用,示例代码可用性,验证文档中提供的示例代码片段语法和逻辑正确，编译运行无报错和告警,是,文档原第304-307行通过node?.getUniqueId()得到uniqueId后直接调用freezeUINode；配套接口文件interface/sdk-js/zh-cn/api/@ohos.arkui.UIContext.d.ts第5154行表明getFrameNodeById返回FrameNode | null，interface/sdk-js/zh-cn/api/arkui/FrameNode.d.ts第832行表明getUniqueId返回number，interface/sdk-js/zh-cn/api/@ohos.arkui.UIContext.d.ts第5796行要求uniqueId为number。,"在zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第318-322行先判断node !== null，再调用node.getUniqueId()和freezeUINode(uniqueId, false)。"
cmramc9hu0r8jh67bmv61okpc,23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,300,未确认,P1,ArkUI,,,"该示例中 uniqueId 由上一行的 node?.getUniqueId() 获取，静态类型可能为 number | undefined；而当前重载 freezeUINode(uniqueId: number, isFrozen: boolean) 的第一个参数要求为 number。直接传入可能为 undefined 的变量，可能导致 IDE 类型检查报错，不符合示例代码应可正常编译的要求。",,"if (uniqueId !== undefined) { this.getUIContext().freezeUINode(uniqueId, true); }","this.getUIContext().freezeUINode(uniqueId, true);",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/23_1_1_1.md,质量,示例代码可用实用,示例代码可用性,验证文档中提供的示例代码片段语法和逻辑正确，编译运行无报错和告警,是,文档原第297-300行通过node?.getUniqueId()得到uniqueId后直接调用freezeUINode；配套接口文件interface/sdk-js/zh-cn/api/@ohos.arkui.UIContext.d.ts第5154行表明getFrameNodeById返回FrameNode | null，interface/sdk-js/zh-cn/api/arkui/FrameNode.d.ts第832行表明getUniqueId返回number，interface/sdk-js/zh-cn/api/@ohos.arkui.UIContext.d.ts第5796行要求uniqueId为number。,"在zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第309-313行先判断node !== null，再调用node.getUniqueId()和freezeUINode(uniqueId, true)。"
cmramc9hl0r8ih67bvhjz2ca7,23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,282,未确认,P1,ArkUI,,,"该示例中 uniqueId 由第272至273行的 node?.getUniqueId() 获取，静态类型可能为 number | undefined；而当前重载 freezeUINode(uniqueId: number, isFrozen: boolean) 的第一个参数要求为 number。直接传入可能为 undefined 的变量，可能导致 IDE 类型检查报错，不符合示例代码应可正常编译的要求。",,"if (uniqueId !== undefined) { this.getUIContext().freezeUINode(uniqueId, false); }","this.getUIContext().freezeUINode(uniqueId, false);",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/23_1_1_1.md,质量,示例代码可用实用,示例代码可用性,验证文档中提供的示例代码片段语法和逻辑正确，编译运行无报错和告警,是,文档原第272-282行通过node?.getUniqueId()得到uniqueId，并在setTimeout中继续直接传入freezeUINode；配套接口文件interface/sdk-js/zh-cn/api/@ohos.arkui.UIContext.d.ts第5154行表明getFrameNodeById返回FrameNode | null，interface/sdk-js/zh-cn/api/arkui/FrameNode.d.ts第832行表明getUniqueId返回number，interface/sdk-js/zh-cn/api/@ohos.arkui.UIContext.d.ts第5796行要求uniqueId为number。,在zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第282-295行将uniqueId获取和两次freezeUINode调用放入node !== null判断内。
