规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,问题状态,严重程度,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,measureNode,ArkUI_NativeNodeAPI_1,779,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，measureNode() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,对目标组件进行测算，可以通过getMeasuredSize接口获取测算后的大小。本接口需要在主线程上调用。,对目标组件进行测算，可以通过getMeasuredSize接口获取测算后的大小。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第779行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,getLayoutPosition,ArkUI_NativeNodeAPI_1,754,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，getLayoutPosition() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,获取组件布局完成后该节点相对于父节点的偏移，单位为px。该偏移是父容器对该节点进行布局之后的结果，因此布局之后生效的offset属性和不参与布局的position属性不影响该偏移值。本接口需要在主线程上调用。,获取组件布局完成后该节点相对于父节点的偏移，单位为px。该偏移是父容器对该节点进行布局之后的结果，因此布局之后生效的offset属性和不参与布局的position属性不影响该偏移值。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第754行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,getMeasuredSize,ArkUI_NativeNodeAPI_1,730,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，getMeasuredSize() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,获取组件测算完成后的宽高尺寸。本接口需要在主线程上调用。,获取组件测算完成后的宽高尺寸。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第730行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,setLayoutPosition,ArkUI_NativeNodeAPI_1,703,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，setLayoutPosition() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,在布局回调函数中设置组件的位置。该接口优先级低于ArkUI_NodeAttributeType中的[NODE_POSITION](capi-native-node-h-nodeattributetype-layoutattributes.md#node_position)。本接口需要在主线程上调用。,在布局回调函数中设置组件的位置。该接口优先级低于ArkUI_NodeAttributeType中的[NODE_POSITION](capi-native-node-h-nodeattributetype-layoutattributes.md#node_position)。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第703行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,setMeasuredSize,ArkUI_NativeNodeAPI_1,676,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，setMeasuredSize() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,在测算回调函数中设置组件的测算完成后的宽和高。本接口需要在主线程上调用。,在测算回调函数中设置组件的测算完成后的宽和高。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第676行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,unregisterNodeCustomEventReceiver,ArkUI_NativeNodeAPI_1,663,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，unregisterNodeCustomEventReceiver() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,反注册自定义节点事件回调统一入口函数。本接口需要在主线程上调用。,反注册自定义节点事件回调统一入口函数。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第663行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,registerNodeCustomEventReceiver,ArkUI_NativeNodeAPI_1,644,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，registerNodeCustomEventReceiver() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,注册自定义节点事件回调统一入口函数。ArkUI框架会统一收集过程中产生的自定义组件事件并通过注册的registerNodeCustomEventReceiver函数回调给开发者。<br> 重复调用时会覆盖前一次注册的函数。<br> 避免直接保存[ArkUI_NodeCustomEvent](capi-arkui-nativemodule-arkui-nodecustomevent.md)对象指针，数据会在回调结束后销毁。<br> 如果需要和组件实例绑定，可以使用addNodeCustomEventReceiver函数接口。<br> 本接口需要在主线程上调用。,注册自定义节点事件回调统一入口函数。ArkUI框架会统一收集过程中产生的自定义组件事件并通过注册的registerNodeCustomEventReceiver函数回调给开发者。<br> 重复调用时会覆盖前一次注册的函数。<br> 避免直接保存[ArkUI_NodeCustomEvent](capi-arkui-nativemodule-arkui-nodecustomevent.md)对象指针，数据会在回调结束后销毁。<br> 如果需要和组件实例绑定，可以使用addNodeCustomEventReceiver函数接口。<br>,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第644行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,unregisterNodeCustomEvent,ArkUI_NativeNodeAPI_1,624,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，unregisterNodeCustomEvent() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,反注册自定义节点事件函数。本接口需要在主线程上调用。,反注册自定义节点事件函数。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第624行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,registerNodeCustomEvent,ArkUI_NativeNodeAPI_1,596,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，registerNodeCustomEvent() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,注册自定义节点事件函数。事件触发时通过registerNodeCustomEventReceiver注册的自定义事件入口函数返回。本接口需要在主线程上调用。,注册自定义节点事件函数。事件触发时通过registerNodeCustomEventReceiver注册的自定义事件入口函数返回。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第596行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,getNextSibling,ArkUI_NativeNodeAPI_1,571,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，getNextSibling() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,获取下一个兄弟节点。本接口需要在主线程上调用。,获取下一个兄弟节点。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第571行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,getPreviousSibling,ArkUI_NativeNodeAPI_1,546,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，getPreviousSibling() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,获取上一个兄弟节点。本接口需要在主线程上调用。,获取上一个兄弟节点。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第546行追加重复说明；保留文档第15行的结构体级主线程约束。
