仓库,文件,行号,规则,内容,traceId,uuid,责任PL,是否问题,确认结果,原因解释,修改方案
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md,1071,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：英文错误信息为 `'@Concurrent' can not be used on method, please use it on function declaration.`，除了说明不能装饰方法外，还建议使用在函数声明（function declaration）上，但中文错误描述仅写""@Concurrent不能装饰方法""，遗漏了使用建议。
建议修改为：
```suggestion
@Concurrent不能装饰方法，请使用在函数声明上。
```",f7c109c7311443aa8af7631fea8519b2,5189a9e5-2473-44d7-9b5e-156b14425eaf,刘凯,,是,英文错误信息/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:1068包含please use it on function declaration。interface的taskpool接口/home/y/openharmony/interface/sdk-js/api/@ohos.taskpool.d.ts:145-148、:164-167要求执行函数必须使用@Concurrent装饰。docs专题/home/y/openharmony/docs/zh-cn/application-dev/arkts-utils/taskpool-introduction.md:102-115说明@Concurrent用于并发函数且禁止标注类方法。原中文/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:1071、:1077只写不能装饰方法，遗漏应使用在函数声明上的要求，问题存在。,已修改/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:1071、:1074、:1077，在错误描述、可能原因和处理步骤中补充@Concurrent应使用于函数声明。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md,1136,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：英文错误信息为 `A page configured in 'main_pages.json' or 'build-profile.json5' must have one and only one '@Entry' decorator.`，明确指出页面必须有且仅有一个 @Entry 装饰器，并指定了配置文件，但中文错误描述仅写""主页面缺少@Entry装饰器校验""，含义模糊且信息不完整。
建议修改为：
```suggestion
在main_pages.json或build-profile.json5中配置的页面必须有且仅有一个@Entry装饰器。
```",f7c109c7311443aa8af7631fea8519b2,d0ed713c-dd12-4a3c-a1b2-54d71e3f64d0,刘凯,,是,英文错误信息/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:1133明确要求main_pages.json或build-profile.json5中配置的页面必须有且仅有一个@Entry。interface声明/home/y/openharmony/interface/sdk-js/api/arkui/component/customComponent.static.d.ets:81-90定义@Entry注解。docs页面入口说明/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-entry.md:10、:18说明@Entry装饰的自定义组件是UI页面入口且单个UI页面仅允许一个。原中文/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:1136、:1139只表述主页面缺少@Entry，未体现配置文件范围和有且仅有一个的约束，问题存在。,已修改/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:1136、:1139、:1142，补充main_pages.json或build-profile.json5中配置的页面必须有且仅有一个@Entry装饰器。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md,1253,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：英文错误信息为 `Should not add return type to the function that is decorated by Styles.`，意为""不应给@Styles装饰的函数添加返回类型声明""，但中文错误描述写为""@Styles装饰的函数不能返回函数类型""，将""不应添加返回类型声明""误解为""不能返回函数类型""，语义不一致。
建议修改为：
```suggestion
@Styles装饰的函数不应添加返回类型声明。
```",f7c109c7311443aa8af7631fea8519b2,36599da8-73d4-4648-912b-cff9a5beeb8e,刘凯,,是,英文错误信息/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:1250明确为Should not add return type即不应添加返回类型声明。docs的@Styles用法/home/y/openharmony/docs/zh-cn/application-dev/ui/state-management/arkts-style.md:46-53、:83-87示例均为无返回类型声明的方法。ace_engine实际用法/home/y/openharmony/foundation/arkui/ace_engine/advanced_ui_component/dialog/source/dialog.ets:493-500、:502-508也为无返回类型声明的@Styles方法。原中文/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:1253、:1256、:1259将return type误写为返回函数类型，问题存在。,已修改/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:1253、:1256、:1259，将错误描述、可能原因和处理步骤改为@Styles装饰的函数不应添加返回类型声明。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md,1279,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：英文错误信息为 `Should not add return type to the function that is decorated by Extend.`，意为""不应给@Extend装饰的函数添加返回类型声明""，但中文错误描述写为""@Extend装饰的函数不能返回函数类型""，将""不应添加返回类型声明""误解为""不能返回函数类型""，语义不一致。
建议修改为：
```suggestion
@Extend装饰的函数不应添加返回类型声明。
```",f7c109c7311443aa8af7631fea8519b2,1c60e8d6-fb86-4e70-be49-2cabe57f4528,刘凯,,是,英文错误信息/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:1276明确为Should not add return type即不应添加返回类型声明。docs的@Extend语法/home/y/openharmony/docs/zh-cn/application-dev/ui/state-management/arkts-extend.md:23-28以及示例:37-48、:71-75均为无返回类型声明的@Extend函数。ace_engine实际用法/home/y/openharmony/foundation/arkui/ace_engine/advanced_ui_component/subheader/source/subheader.ets:133-144、:146-152也为无返回类型声明的@Extend函数。原中文/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:1279、:1282、:1285将return type误写为返回函数类型，问题存在。,已修改/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:1279、:1282、:1285，将错误描述、可能原因和处理步骤改为@Extend装饰的函数不应添加返回类型声明。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-e.md,57,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：枚举名`NodeRenderState`中为""Node""，对应中文应为""节点""，但此处描述写为""组件的渲染状态""。且该枚举的枚举值说明（第65、66行）均使用""节点""一词，前后不一致。
建议修改为：
```suggestion
节点的渲染状态。
```",f7c109c7311443aa8af7631fea8519b2,1454b498-3d9b-4929-86c4-490c57046513,刘凯,,是,interface 将该枚举声明为 NodeRenderState，并在回调类型中说明用于监控 one specific node 的 render state，见 /home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.static.d.ets:1130、/home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.static.d.ets:1163；ace_engine 内部枚举也命名为 NodeRenderState，枚举值为 ABOUT_TO_RENDER_IN/OUT，见 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/core/components_ng/base/node_render_status_monitor.h:29；docs 原文在 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-e.md:57 写“组件的渲染状态”，与 Node/节点口径不一致。,已将 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-e.md:57 修改为“节点的渲染状态。”。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,999,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：`getHostContext`接口描述使用""元能力""，但同一接口的返回值说明（第1011行）使用""Ability""，同一概念使用了不同术语，存在不一致。且""元能力""未能体现方法名中""Host""（宿主/所属）的含义，返回值说明中""所在Ability""更准确。
建议修改为：
```suggestion
获得当前Ability的Context。
```",f7c109c7311443aa8af7631fea8519b2,f3ad3978-488e-42d5-b1c0-c689918e51cf,刘凯,,是,interface 对 getHostContext() 的注释为“Obtains context of the ability”，声明返回 Context | undefined，见 /home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.static.d.ets:4142、/home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.static.d.ets:4150；ace_engine 实现从当前 PipelineContext 获取 frontend 并返回 frontend->GetHostContext()，见 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/core/interfaces/native/ani/common_ani_modifier.cpp:130 和 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/core/interfaces/native/ani/common_ani_modifier.cpp:142；docs 返回值已说明“当前组件所在Ability的Context”，见 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:1011，原简介 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:999 写“当前元能力”，与 Ability 口径不一致。,已将 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:999 修改为“获得当前组件所在Ability的Context。”。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,1652,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：方法名`createAnimator`中""create""对应""创建""，而描述使用""定义""，动词与接口名不一致；且返回类型为`AnimatorResult`，描述中""Animator类""与返回类型不一致。同接口的新版重载（第1718行）描述为""创建animator动画结果对象（AnimatorResult）""，两处描述不一致。
建议修改为：
```suggestion
创建Animator动画结果对象。
```",f7c109c7311443aa8af7631fea8519b2,a48c6a6b-ac9c-427e-bb86-f0318b510bfe,刘凯,,是,interface 中 createAnimator 的英文注释为“Create an animator object for custom animation”，返回值声明为 AnimatorResult，见 /home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.d.ts:5050、/home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.d.ts:5078；ace_engine 的 UIContext.createAnimator 调用 animator.create(options) 并返回结果，见 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/declarative_frontend/engine/jsUIContext.js:506 和 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/declarative_frontend/engine/jsUIContext.js:509；docs 新重载也写“创建animator动画结果对象（AnimatorResult）”，见 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:1718，原旧重载 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:1652 写“定义Animator类”与返回类型和新版表述不一致。,已将 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:1652 修改为“创建Animator动画结果对象。”。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,1909,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：返回值说明中写为""AtomicServerBar类型""，但同一行类型列为`AtomicServiceBar`，""Server""为拼写错误，应为""Service""。
建议修改为：
```suggestion
| Nullable<[AtomicServiceBar](arkts-apis-uicontext-atomicservicebar.md)> | 如果是原子化服务则返回AtomicServiceBar类型，否则返回undefined。 |
```",f7c109c7311443aa8af7631fea8519b2,d573ddd1-42b5-48af-aafe-7d86c93ab96c,刘凯,,是,interface 定义的接口名和返回类型均为 AtomicServiceBar，见 /home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.d.ts:3038、/home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.d.ts:5368、/home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.d.ts:5376；ace_engine 实现 getAtomicServiceBar() 时创建并返回 AtomicServiceBar 实例，见 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/declarative_frontend/engine/jsUIContext.js:759、/home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/declarative_frontend/engine/jsUIContext.js:766、/home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/declarative_frontend/engine/jsUIContext.js:1755；docs 原返回说明 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:1909 写成 AtomicServerBar，与类型列 AtomicServiceBar 不一致。,已将 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:1909 中的 AtomicServerBar 修改为 AtomicServiceBar。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,2834,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：返回值说明中先使用""宽高比""（宽/高），随后同一单元格内又使用""高宽比""（高/宽），且接口描述（第2824行）也使用""高宽比""。""宽高比""与""高宽比""含义不同，存在不一致。
建议修改为：
```suggestion
| [HeightBreakpoint](./arkui-ts/ts-appendix-enums.md#heightbreakpoint13) | 当前实例所在窗口的高宽比对应的高度断点枚举值。若窗口高宽比为0，则返回HEIGHT_SM。 |
```",f7c109c7311443aa8af7631fea8519b2,8c2f8492-9041-4311-9244-4ebf07faa64e,刘凯,,是,ace_engine 的 Window::GetHeightBreakpoint 先取窗口 width 和 height，并用 aspectRatio = height / width 计算高度断点，见 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/core/common/window.cpp:137、/home/y/openharmony/foundation/arkui/ace_engine/frameworks/core/common/window.cpp:145、/home/y/openharmony/foundation/arkui/ace_engine/frameworks/core/common/window.cpp:149；断点阈值为 0.8/1.2，见 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/base/utils/layout_break_point.h:85、/home/y/openharmony/foundation/arkui/ace_engine/frameworks/base/utils/layout_break_point.h:90；interface 声明返回 HeightBreakpoint，见 /home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.d.ts:5886、/home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.d.ts:5904；docs 附录也写“高宽比”，见 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-appendix-enums.md:883 和 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-appendix-enums.md:895。原返回说明 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:2834 写“宽高比”，与代码公式和文档附录不一致。,已将 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:2834 中的“宽高比”修改为“高宽比”。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md,306,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：`off('navDestinationUpdateByUniqueId')`的接口描述为""取消通过Navigation的uniqueId监听NavDestination组件的**变化**""，但对应的`on('navDestinationUpdateByUniqueId')`（第219行）描述为""通过Navigation的uniqueId监听NavDestination组件的**状态变化**""。off描述缺少""状态""二字，与on描述不一致。
建议修改为：
```suggestion 
取消通过[Navigation](arkui-ts/ts-basic-components-navigation.md)的uniqueId监听[NavDestination](arkui-ts/ts-basic-components-navdestination.md)组件的状态变化。
```",f7c109c7311443aa8af7631fea8519b2,c16177b5-ff06-4a14-9e81-226eca5ceac7,刘凯,,是,问题存在。docs 中 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md:219 的 on('navDestinationUpdateByUniqueId') 描述为监听 NavDestination 组件的状态变化，同文件:316 的 off 参数说明也将事件解释为 NavDestination 组件的状态变化；原同文件:306 写成“组件的变化”，缺少“状态”。interface 中 /home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.d.ts:1776-1788 声明 on 注册 navigation destination updated 回调，/home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.d.ts:1790-1803 声明 off 移除 previously registered with on() 的回调。ace_engine 中 /home/y/openharmony/foundation/arkui/ace_engine/interfaces/napi/kits/observer/js_ui_observer.cpp:382 和:404 分别把 navDestinationUpdateByUniqueId 映射到注册/注销流程，同文件:497-498 设置 HandleNavigationStateChange，:507 注册 uniqueId 监听，:553 和:561 注销 uniqueId 监听；/home/y/openharmony/foundation/arkui/ace_engine/interfaces/napi/kits/observer/ui_observer.cpp:246-251 向 uniqueId 监听者分发 OnNavigationStateChange。因此 off 描述应与 on 保持为“状态变化”。,已将 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md:306 修改为“取消通过[Navigation](arkui-ts/ts-basic-components-navigation.md)的uniqueId监听[NavDestination](arkui-ts/ts-basic-components-navdestination.md)组件的状态变化。”
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md,1362,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：callback参数说明中""携带TabContentInfo""未添加链接，与同一接口其他重载（第1265行）的""携带[TabContentInfo](js-apis-arkui-observer.md#tabcontentinfo12)""写法不一致，缺少markdown链接。
建议修改为：
```suggestion
| callback | Callback\<observer.[TabContentInfo](js-apis-arkui-observer.md#tabcontentinfo12)\> | 是   | 回调函数。携带[TabContentInfo](js-apis-arkui-observer.md#tabcontentinfo12)，返回[TabContent](arkui-ts/ts-container-tabcontent.md)页面切换事件的信息。 |
```",f7c109c7311443aa8af7631fea8519b2,5c880340-6dde-47de-bb1b-103a3c07d293,刘凯,,是,"问题存在。docs 中 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md:1362 的 callback 类型列已链接到 observer.TabContentInfo，但说明文本原写“携带TabContentInfo”未加链接；同文件:1265 的同类 on('tabContentUpdate') 重载说明写为“携带[TabContentInfo](js-apis-arkui-observer.md#tabcontentinfo12)”。/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-observer.md:215 定义了 TabContentInfo 类型锚点。interface 中 /home/y/openharmony/interface/sdk-js/api/@ohos.arkui.observer.d.ts:561 声明 export interface TabContentInfo，/home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.d.ts:2288-2301 声明 tabContentUpdate(options, callback) 的 callback 类型为 Callback<observer.TabContentInfo>。ace_engine 中 /home/y/openharmony/foundation/arkui/ace_engine/interfaces/napi/kits/observer/js_ui_observer.cpp:1107-1128 注册 tabContentUpdate 监听，/home/y/openharmony/foundation/arkui/ace_engine/interfaces/napi/kits/observer/ui_observer.cpp:1893-1907 以 NG::TabContentInfo 分发回调信息。因此该说明应链接到 TabContentInfo 类型定义以保持上下文一致。",已将 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md:1362 中说明文本“携带TabContentInfo”修改为“携带[TabContentInfo](js-apis-arkui-observer.md#tabcontentinfo12)”。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md,2525,Terminology Consistency,"❌**疑似检测出英文拼写问题**

错误原因：callback说明中""WindowSizeLayoutBreakpoint**i**nfo""的""i""应为大写""I""，与类型名`WindowSizeLayoutBreakpointInfo`不一致，属于拼写错误。
建议修改为：
```suggestion
| callback     | Callback\<observer.[WindowSizeLayoutBreakpointInfo](js-apis-arkui-observer.md#windowsizelayoutbreakpointinfo22)> | 是   | 回调函数。携带WindowSizeLayoutBreakpointInfo，包含窗口宽度和高度所在的布局断点枚举。 |
```",f7c109c7311443aa8af7631fea8519b2,7438a00e-3a1b-4aae-806a-6606fd72abc5,刘凯,,是,问题存在。docs 中 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md:2525 的 callback 类型列为 observer.WindowSizeLayoutBreakpointInfo，但说明文本原写为 WindowSizeLayoutBreakpointinfo，Info 的 I 小写。/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-observer.md:231 的类型标题为 WindowSizeLayoutBreakpointInfo。interface 中 /home/y/openharmony/interface/sdk-js/api/@ohos.arkui.observer.d.ts:806 声明 export class WindowSizeLayoutBreakpointInfo，/home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.d.ts:2411-2423 声明 windowSizeLayoutBreakpointChange 的 callback 类型为 Callback<observer.WindowSizeLayoutBreakpointInfo>。ace_engine 中 /home/y/openharmony/foundation/arkui/ace_engine/interfaces/napi/kits/observer/js_ui_observer.cpp:762-774 注册该事件监听，/home/y/openharmony/foundation/arkui/ace_engine/interfaces/napi/kits/observer/ui_observer_listener.cpp:478-499 将窗口宽高断点信息组成回调对象。因此文档说明中的类型名大小写应与 WindowSizeLayoutBreakpointInfo 保持一致。,已将 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md:2525 中的 WindowSizeLayoutBreakpointinfo 修改为 WindowSizeLayoutBreakpointInfo。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-appendix-enums.md,398,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：枚举名`ExtremeDeceleration`意为""极度减速""，但中文描述为""急缓曲线""。""急缓""非标准中文术语，且""急""与""缓""语义矛盾，疑为""极缓""的笔误（""急""与""极""拼音均为jí）。应与`ExtremeDeceleration`中的""Extreme""对应，使用""极缓""。
建议修改为：
```suggestion
| ExtremeDeceleration | 8 | 极缓曲线，CubicBezier(0.0, 0.0, 0.0, 1.0)。   |
```",f7c109c7311443aa8af7631fea8519b2,c81499cb-002e-4e24-b20e-fa2809393cb4,刘凯,,是,"问题存在，但原建议“极缓曲线”证据不足，未采用。docs 中 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-appendix-enums.md:398 原写“急缓曲线”；对应英文文档 /home/y/openharmony/docs/en/application-dev/reference/apis-arkui/arkui-ts/ts-appendix-enums.md:372 写为 extreme deceleration cubic-bezier curve。interface 中 /home/y/openharmony/interface/sdk-js/api/@ohos.curves.d.ts:250-271 声明 ExtremeDeceleration，对应 cubic-bezier (0.0, 0.0, 0.0, 1.0)，/home/y/openharmony/interface/sdk-js/api/common/full/viewmodel.d.ts:509 也写为 extreme-deceleration Extreme deceleration curve。ace_engine 中 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/core/animation/curves.cpp:33 将 EXTREME_DECELERATION 实现为 CubicCurve(0.0f, 0.0f, 0.0f, 1.0f)，/home/y/openharmony/foundation/arkui/ace_engine/docs/pattern/animation/Animation_Knowledge_Base.md:1157 和:1185 将 EXTREME_DECELERATION 说明为“极速减速”。因此“急缓”与 ExtremeDeceleration/极速减速含义不一致，应改为“极速减速曲线”，而不是“极缓曲线”。",已将 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-appendix-enums.md:398 的“急缓曲线”修改为“极速减速曲线”。未采用检测建议中的“极缓曲线”，因为 interface 和 ace_engine 证据均指向 extreme deceleration/极速减速。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-appendix-enums.md,416,Terminology Consistency,"❌**疑似检测出描述错误问题**

错误原因：`DEFAULT`的描述""白底蓝字（深色主题：白底=黑底）""中，""白底=黑底""表述有误且易产生歧义，""=""通常表示等于，""白底等于黑底""自相矛盾。实际含义应为深色主题下白底变为黑底，应明确表述。
建议修改为：
```suggestion
| DEFAULT   | 0    | 白底蓝字（深色主题下为黑底蓝字）。 |
```",f7c109c7311443aa8af7631fea8519b2,8bc3546a-fd2f-4d35-baec-ff6ceaca6a14,刘凯,,是,问题存在。docs 中 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-appendix-enums.md:416 原写“白底蓝字（深色主题：白底=黑底）”，使用等号表达主题下背景色切换关系，容易理解为白底等于黑底。对应英文文档 /home/y/openharmony/docs/en/application-dev/reference/apis-arkui/arkui-ts/ts-appendix-enums.md:388 写为 Blue text on white background (black background under the dark theme)，表达的是深色主题下背景显示为黑底。interface 中 /home/y/openharmony/interface/sdk-js/api/arkui/component/enums.static.d.ets:3498-3513 声明 DialogButtonStyle.DEFAULT/HIGHLIGHT 两个样式。ace_engine 中 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/core/components/dialog/dialog_properties.h:60-63 定义 DEFAULT/HIGHTLIGHT 枚举，/home/y/openharmony/foundation/arkui/ace_engine/frameworks/core/components_ng/pattern/dialog/dialog_pattern.cpp:1012-1018 将 DEFAULT 映射到默认字体色和默认背景色，将 HIGHTLIGHT 映射到高亮字体色和背景色，/home/y/openharmony/foundation/arkui/ace_engine/frameworks/core/components/dialog/dialog_theme.cpp:63-66 显示高亮为蓝底白字、默认背景为透明且默认字体色为蓝色。因此中文应明确为“深色主题下为黑底蓝字”，避免“白底=黑底”的歧义。,已将 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-appendix-enums.md:416 修改为“白底蓝字（深色主题下为黑底蓝字）”。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-types.md,648,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：`%`是百分比单位，而非像素单位。描述中""以%像素单位""将百分比误称为像素单位，与英文类型名`Percentage`含义不一致。
建议修改为：
```suggestion
| [Percentage](#percentage10)        | 需要指定以百分比单位，如'10%'。|
```",f7c109c7311443aa8af7631fea8519b2,3ca1e04b-5049-45e8-843a-3849059284aa,刘凯,,是,docs原文在/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-types.md:648将Percentage描述为“%像素单位”；interface在/home/y/openharmony/interface/sdk-js/api/@internal/component/ets/units.d.ts:260-297定义Percentage为`${number}%`，Dimension在/home/y/openharmony/interface/sdk-js/api/@internal/component/ets/units.d.ts:320-357列出单位(vp|px|fp|lpx|%)；ace_engine解析实现/home/y/openharmony/foundation/arkui/ace_engine/frameworks/base/utils/string_utils.cpp:347-349和:413-415将后缀%解析为DimensionUnit::PERCENT，/home/y/openharmony/foundation/arkui/ace_engine/frameworks/base/geometry/dimension.cpp:315-340也将%映射为DimensionUnit::PERCENT并除以100。说明%是百分比单位，不是像素单位。,已将/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-types.md:648中的“需要指定以%像素单位，如'10%'。”修改为“需要指定以百分比单位，如'10%'。”。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-types.md,709,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：`%`是百分比单位，而非像素单位。描述中""以%像素单位""将百分比误称为像素单位，与英文类型名`Percentage`含义不一致。
建议修改为：
```suggestion
长度类型，用于描述以百分比单位为单位的长度。
```",f7c109c7311443aa8af7631fea8519b2,ec55a2ad-7eec-4225-8cbc-af21ebff07bc,刘凯,,是,docs原文在/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-types.md:709写作“以%像素单位”；英文对应文档/home/y/openharmony/docs/en/application-dev/reference/apis-arkui/arkui-ts/ts-types.md:686定义为“percentage”，:694说明单位为%；interface在/home/y/openharmony/interface/sdk-js/api/@internal/component/ets/units.d.ts:260-297将Percentage声明为`${number}%`；ace_engine在/home/y/openharmony/foundation/arkui/ace_engine/frameworks/base/utils/string_utils.cpp:347-349、:413-415将%解析为DimensionUnit::PERCENT。因此%表示百分比单位，不是像素单位。,已将/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-types.md:709中的“长度类型，用于描述以%像素单位为单位的长度。”修改为“长度类型，用于描述以百分比单位为单位的长度。”。
