规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,问题状态,严重程度,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
12.1.1.2,检查文档中清楚地说明了使用场景。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_CreateContentModifier,native_render.h,1652,未确认,P2,原描述只说明创建对象，未说明内容修改器用于配置自定义绘制内容等使用场景，开发者难以理解创建该对象的目的。,,创建内容修改器，用于需要为渲染节点配置自定义绘制内容的场景。,创建内容修改器。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,native-template.md第117行要求函数详细描述主要功能和使用场景；修复前文档第1652行仅写“创建内容修改器。”，未说明OH_ArkUI_RenderNodeUtils_CreateContentModifier的适用场景。,已在capi-native-render-h.md第1680、1682行修改：正文首段与总览统一为“创建内容修改器。”；具体展开说明另起一段为“该接口用于保存绘制属性并设置onDraw回调，再附加到渲染节点。使用完毕后调用[OH_ArkUI_RenderNodeUtils_DisposeContentModifier](#oh_arkui_rendernodeutils_disposecontentmodifier)释放。”
12.1.1.2,检查文档中清楚地说明了使用场景。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_AttachContentModifier,native_render.h,1630,未确认,P2,“内容修改器”属于较抽象的渲染扩展能力，原描述仅说明添加动作，未说明添加内容修改器的用途或适用场景，不满足方法说明需清楚说明使用场景的要求。,,为渲染节点添加内容修改器，用于需要通过内容修改器扩展渲染节点绘制内容的场景。,为渲染节点添加内容修改器。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,native-template.md第117行要求函数详细描述主要功能和使用场景；修复前文档第1630行仅写“为渲染节点添加内容修改器。”，未说明OH_ArkUI_RenderNodeUtils_AttachContentModifier的适用场景。,已在capi-native-render-h.md第1656、1658行修改：正文首段与总览统一为“为渲染节点添加内容修改器。”；具体展开说明另起一段为“该接口用于通过onDraw回调扩展节点的自定义绘制内容。”
12.1.1.2,检查文档中清楚地说明了使用场景。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_SetMarkNodeGroup,native_render.h,1533,未确认,P2,该接口属于底层绘制控制类接口，原描述只说明可标记优先绘制，但未说明在何种渲染场景下需要调整节点及子节点的绘制优先级，开发者难以判断适用时机。,,标记是否优先绘制该节点及其子节点，用于需要调整复杂自定义渲染节点及其子节点绘制优先级的场景。,标记是否优先绘制该节点及其子节点。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,native-template.md第117行要求函数详细描述主要功能和使用场景；修复前文档第1533行仅写“标记是否优先绘制该节点及其子节点。”，未说明OH_ArkUI_RenderNodeUtils_SetMarkNodeGroup的适用场景。graphic_2d的rs_node.h第1773-1785行还明确了节点组的离屏缓存用途及效果限制。,已同步修改capi-native-render-h.md第113、1555、1557、1565行：统一表述为“设置是否将目标节点及其子树组成节点组”，并保留true、false的效果、适用场景及限制说明。总览描述与正文首段已同步为相同内容，具体展开说明已另起一段。
12.1.1.2,检查文档中清楚地说明了使用场景。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_SetTransform,native_render.h,1034,未确认,P2,该接口属于底层变换控制类接口，原描述仅说明接口作用，后续内容虽然解释了矩阵格式和各矩阵分量含义，但未说明开发者何时需要直接设置变换矩阵，缺少使用场景说明。,,为渲染节点设置变换矩阵，用于需要通过矩阵统一控制渲染节点缩放、旋转、平移或透视投影效果的场景。,为渲染节点设置变换矩阵。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,native-template.md第117行要求函数详细描述主要功能和使用场景；修复前文档第1034行仅写“为渲染节点设置变换矩阵。”，未说明OH_ArkUI_RenderNodeUtils_SetTransform的适用场景。native_render.h第863-894行表明该4x4矩阵可统一控制缩放、旋转、平移、倾斜和透视。,已在capi-native-render-h.md第1048、1050行修改：正文首段与总览统一为“为渲染节点设置变换矩阵。”；具体展开说明另起一段为“该接口用于通过一个4x4矩阵统一控制渲染节点的缩放、旋转、平移、倾斜和透视投影效果。”
19.1.1.1,（1）格式正确，如英文单词间无多余的空格、不缺少空格（2）标题的字体、颜色、大小一致（3）行间距一致，段落间距一致（4）标点符号使用正确（如中文段落使用中文标点符号，英文段落使用英文，括号、引号成对出现）,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_InsertRenderNodeAt,native_render.h,3356,未确认,P2,该表格内容行强制按中文段落处理，且表格内容单元格参与中英文间距/多余空格检查。原文在“索引。”与第一个`<br>`之间、以及“]。”与第二个`<br>`之间均存在连续多个空格，属于句中连续2个及以上多余空格。`<br>`标签前不需要这些空格，删除后不改变语义。,,"| int32_t position | 插入子渲染节点的索引。<br>索引范围必须处于[0, 当前子节点数量]。<br>如果索引等于当前子节点数量，那么等同于添加操作。|","| int32_t position | 插入子渲染节点的索引。     <br>索引范围必须处于[0, 当前子节点数量]。     <br>如果索引等于当前子节点数量，那么等同于添加操作。|",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/19_1_1_1.md,体验,内容规范性,样式显示规范,验证文档写作符合通用格式规范,是,Markdown表格中的HTML换行标签前不需要连续空格；修复前文档第3356行在两个<br>标签前存在连续空格，且使用“如果……那么……”的口语化句式，因此是问题。,"已修改capi-native-render-h.md第3466行：删除原有<br>标签前的连续空格，并精简为“插入子渲染节点的索引，取值范围为[0, 当前子节点数量]；等于当前子节点数量时等同于添加操作”。"
12.1.1.1,检查文档中关于方法/函数的含义/功能等信息描述是否完整，功能描述中若存在名词或概念不易理解或存在多义性，检查文档是否提供相关知识。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_SetRoundRectShapeOptionCornerXY,native_render.h,2714,未确认,P2,该函数属于圆角矩形形状配置，函数名OH_ArkUI_RenderNodeUtils_SetRoundRectShapeOptionCornerXY及参数ArkUI_CornerDirection表明其作用是设置指定角的x、y配置值；原描述仅写“目标角的坐标值”，容易被理解为设置矩形角点位置，未明确该坐标值用于圆角配置，功能描述不够清晰。,,设置目标角的圆角半径坐标值。,设置目标角的坐标值。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_1.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,native_render.h第1912行和render_node.cpp第1905行均表明x、y用于指定角的两个圆角半径；修复前文档第2714行写成“坐标值”，会误解为角点位置。,已在文档第2788行修改为“设置指定角的X轴和Y轴圆角半径”。
12.1.1.1,检查文档中关于方法/函数的含义/功能等信息描述是否完整，功能描述中若存在名词或概念不易理解或存在多义性，检查文档是否提供相关知识。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_SetNodeBorderRadiusOptionCornerRadius,native_render.h,2563,未确认,P2,该函数名为OH_ArkUI_RenderNodeUtils_SetNodeBorderRadiusOptionCornerRadius，入参包含cornerRadius和ArkUI_CornerDirection，表明接口设置的是指定角的边框半径，而原描述写为“边缘值”，与“角半径”的实际对象不一致，容易误导开发者理解direction和cornerRadius的作用。,,设置节点边框半径的角半径值。请注意，入参cornerRadius为uint32_t，仅支持传入正整数。,设置节点边框半径的边缘值。请注意，入参cornerRadius为uint32_t，仅支持传入正整数。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_1.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,native_render.h第1830行的接口名和cornerRadius参数明确表示指定角的边框半径；修复前文档第2563行写成“边缘值”，对象描述错误。,已同步修改capi-native-render-h.md第165、2631行：统一表述为“设置节点指定角的边框半径”。
11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,,native_render.h,11,未确认,P2,该句位于文档开头“概述”章节，属于本规则检查范围内的模块级总体描述。现有概述仅说明提供NativeRender接口的类型定义，未概括该头文件覆盖的主要功能能力和适用的自定义渲染场景。结合文档后续“汇总”和函数说明可知，该文档整体包含渲染节点创建与管理、节点属性配置、内容修改器、遮罩、裁剪、模糊样式等能力，现有概述过于笼统，不能帮助读者快速理解该API参考文档的功能场景和特点。,,提供NativeRender接口的类型定义，支持创建和管理渲染节点、配置节点属性、内容修改器、遮罩、裁剪和模糊样式等自定义渲染能力。更多详细介绍请参考[构建渲染节点](../../ui/ndk-embed-render-components.md)。,提供NativeRender接口的类型定义。更多详细介绍请参考[构建渲染节点](../../ui/ndk-embed-render-components.md)。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,是,native-template.md第34-36行要求文件概述覆盖主要功能和使用场景；修复前文档第11行仅写“提供NativeRender接口的类型定义”，未概括节点管理、自定义绘制、遮罩、裁剪和模糊等能力。,已在文档第11行修改为“提供NativeRender接口的类型定义，支持创建和管理渲染节点、设置渲染属性、自定义绘制内容，以及配置遮罩、裁剪和模糊效果，适用于在Native侧构建和管理自定义渲染节点树、扩展自定义绘制效果的场景。更多详细介绍请参考构建渲染节点”。
12.4.1.2,检查文档中是否提供错误码出现的可能原因、解决措施/步骤，是否提供完整。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_SetTransform,native_render.h,1077,未确认,P1,该返回值列出CAPI初始化失败错误码，但本接口处仅给出错误描述；其链接指向的 ArkUI_ErrorCode 枚举也仅给出“接口初始化错误”，未提供可能原因和处理步骤。,,[ARKUI_ERROR_CODE_CAPI_INIT_ERROR](capi-arkui-nativemodule-arkui-error-code-h.md#arkui_errorcode) CAPI初始化失败，可能原因为CAPI环境未完成初始化；请确认CAPI初始化成功后再调用接口。,[ARKUI_ERROR_CODE_CAPI_INIT_ERROR](capi-arkui-nativemodule-arkui-error-code-h.md#arkui_errorcode) CAPI初始化失败。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_4_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中列举出了所有可能出现的错误码，且错误可能原因、处理步骤完整,否,文档第1093行已逐项说明返回错误码的含义并链接ArkUI_ErrorCode；native-template.md第121行只要求说明每个返回值的含义。可能原因和处理步骤是errorcodes-template.md第16-18行规定的独立错误码专题内容，不要求在每个函数返回表重复。,不修改文档第1093行；保留现有错误码含义和枚举链接，不重复添加错误码专题中的原因及处理步骤。
12.1.2.7,若相关方法/函数间存在配合/制约关系，检查文档中是否有相关描述，描述说明是否完整。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_CreateBlurStyleOption,native_render.h,3138,未确认,P1,OH_ArkUI_RenderNodeUtils_CreateBlurStyleOption()与OH_ArkUI_RenderNodeUtils_DisposeBlurStyleOption()存在创建/销毁的配对调用关系，但创建接口描述未说明对应销毁接口和调用要求。,,创建一个模糊样式对象。调用本接口创建的模糊样式对象在不再使用时，需要调用OH_ArkUI_RenderNodeUtils_DisposeBlurStyleOption()销毁并释放资源。,创建一个模糊样式对象。,https://gitcode.com/BeicC/docs-prompt/blob/master/wait-for-confirm/method_relationship_check.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,是,native_render.h第191行声明OH_ArkUI_RenderNodeUtils_CreateBlurStyleOption创建资源，第199行声明对应的OH_ArkUI_RenderNodeUtils_DisposeBlurStyleOption；修复前文档第3138行只说明创建动作，未说明使用完毕后的释放关系。,已在文档第3236、3238行修改为“创建一个模糊样式对象。使用完毕后调用OH_ArkUI_RenderNodeUtils_DisposeBlurStyleOption销毁并释放资源”。总览描述与正文首段已同步为相同内容，具体展开说明已另起一段。
12.1.2.7,若相关方法/函数间存在配合/制约关系，检查文档中是否有相关描述，描述说明是否完整。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_CreateRenderNodeClipOptionFromCommandPath,native_render.h,3038,未确认,P1,OH_ArkUI_RenderNodeUtils_CreateRenderNodeClipOptionFromCommandPath()与OH_ArkUI_RenderNodeUtils_DisposeRenderNodeClipOption()存在创建/释放的配对调用关系，但创建接口描述未说明对应释放接口。,,从自定义绘制路径创建裁剪。调用本接口创建的渲染节点裁剪在不再使用时，需要调用OH_ArkUI_RenderNodeUtils_DisposeRenderNodeClipOption()释放资源。,从自定义绘制路径创建裁剪。,https://gitcode.com/BeicC/docs-prompt/blob/master/wait-for-confirm/method_relationship_check.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,是,native_render.h第2073行声明OH_ArkUI_RenderNodeUtils_CreateRenderNodeClipOptionFromCommandPath创建资源，第2082行声明对应的OH_ArkUI_RenderNodeUtils_DisposeRenderNodeClipOption；修复前文档第3038行只说明创建动作，未说明使用完毕后的释放关系。,已在文档第3134、3136行修改为“从自定义绘制路径创建裁剪。使用完毕后调用OH_ArkUI_RenderNodeUtils_DisposeRenderNodeClipOption释放”。总览描述与正文首段已同步为相同内容，具体展开说明已另起一段。
